Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
0800,5689,5689,69088,57725,0.91,5165,69243,60103,0.14,789,-1650,-551,5689,72025,60480,5689,2896,1118,0.08,463,64031,22000,0.07,424,44812,10195,0.86,4895,17211,11139,6628,104892,22073
0810,22159,22159,71597,59964,0.87,19242,71607,63656,0.18,4001,-712,-446,22159,74214,62258,22159,2528,1012,0.11,2342,78847,24092,0.10,2194,52360,10312,0.82,18235,19051,12824,24571,144576,51591
0812,10977,10977,68006,59675,0.86,9472,68852,63857,0.18,1929,-1180,-868,10977,70217,61871,10977,2147,900,0.08,847,76726,27900,0.07,814,51775,12210,0.82,8996,17117,12515,12590,156090,67150
0820,13737,13737,81272,66365,0.88,12051,76906,68589,0.21,2841,-93,-218,13737,84157,69148,13737,2833,1144,0.10,1321,78931,20829,0.09,1238,52845,9235,0.86,11792,22449,14335,15477,177217,56603
0822,7052,7052,51643,39800,0.86,6090,49016,38166,0.09,664,-461,-242,7052,53057,40491,7052,1330,175,0.05,331,115774,32207,0.04,317,97319,17669,0.70,4941,12430,6922,9419,64215,8857
0828,1018,1018,78808,63473,0.86,879,70708,64974,0.17,173,1895,298,1018,81499,65722,1018,2518,1096,0.09,96,118004,45968,0.09,91,98112,21817,0.84,859,22024,13115,1118,112805,43163
0829,444,444,64166,66614,0.95,420,65017,68856,0.08,34,-2664,-2712,444,67061,69102,444,2761,2050,0.03,15,243481,30400,0.03,15,214834,11633,0.92,408,12412,11462,483,67105,26916
0830,11309,11309,68974,61879,0.89,10095,69915,65657,0.15,1671,-2962,-2118,11309,71379,64080,11309,2336,1014,0.07,744,76047,29746,0.06,723,51300,13674,0.84,9459,16987,12904,12519,123052,59179
0832,11748,11748,72355,67409,0.93,10909,74134,70501,0.14,1604,-2632,-2069,11748,74959,69907,11748,2578,1327,0.07,769,67694,26548,0.06,746,46475,14428,0.87,10216,17494,14048,12417,110475,59143
0834,735,735,74869,63501,0.86,635,73448,67026,0.20,150,-1581,-152,735,77477,66969,735,2550,966,0.07,50,104428,61995,0.07,55,66798,22178,0.82,605,20438,14720,812,152411,85374
0835,2760,2760,76136,65592,0.84,2312,76963,70722,0.24,668,-2531,-1756,2760,79085,67980,2760,2786,984,0.10,279,101499,47580,0.10,276,71819,18878,0.83,2280,20818,14984,3146,196627,107108
0836,5121,5121,73134,64093,0.85,4355,75264,69545,0.20,1029,-1609,-1488,5121,75659,66271,5121,2428,945,0.09,477,103680,53457,0.09,462,77045,26554,0.84,4293,19093,14109,5709,158577,92542
0837,441,441,63156,56578,0.72,317,70317,65551,0.18,78,-523,-598,441,65625,58285,441,2269,636,0.12,54,89984,35544,0.12,53,70016,18015,0.78,344,16208,11470,519,148642,77864
0838,559,559,70325,63864,0.86,478,74027,68886,0.18,101,-1155,-708,559,73245,67541,559,2644,997,0.10,57,84416,34367,0.10,57,57271,23663,0.82,460,18259,14559,624,150111,75435
0839,618,618,71945,63410,0.89,550,73179,65592,0.18,114,-87,-1274,618,74442,66064,618,2402,1124,0.09,54,108720,31374,0.09,53,77464,15880,0.86,534,17503,13015,629,127003,62010
0840,184,184,52871,38413,0.67,123,63526,59423,0.17,31,-500,-1911,184,55444,40811,184,2104,434,0.15,27,112179,38019,0.14,26,103875,39694,0.64,117,15404,10693,229,163687,93272
0841,353,353,66223,60163,0.86,303,67395,64094,0.16,57,-193,-36,353,68048,61753,353,1803,648,0.12,41,69735,33650,0.11,39,48885,14739,0.80,281,16724,13138,448,122718,64255
0845,327,327,61657,47041,0.81,264,58441,53042,0.12,38,1865,466,327,63393,47729,327,1468,500,0.09,31,52934,32127,0.09,29,47348,27866,0.74,241,16410,9418,380,107307,52900
0846,210,210,57363,46208,0.75,157,58235,49269,0.17,36,453,896,210,60705,47602,210,3321,482,0.10,20,39860,26148,0.09,18,41512,16236,0.72,152,17955,8407,245,104605,50318
0847,152,152,58592,43744,0.82,124,53773,47756,0.09,13,8960,6577,152,60176,44343,152,1102,300,0.05,7,18453,6471,0.03,5,9241,3465,0.69,105,16851,9547,211,68885,13562
0850,4332,4332,65996,59200,0.89,3868,65206,61048,0.13,565,885,595,4332,68324,61211,4332,2214,707,0.07,299,115248,37851,0.07,289,83414,19474,0.85,3682,15647,11791,5351,103197,33374
0852,2026,2026,45509,37236,0.86,1751,42198,33750,0.06,129,747,396,2026,49392,38337,2026,1513,40,0.03,68,120645,30834,0.03,66,102024,24368,0.68,1370,9845,5580,2984,40045,4385
0853,517,517,73459,75728,0.96,497,76224,78937,0.30,154,89,-23,517,75883,78708,517,2421,1711,0.03,18,34694,18132,0.04,19,22404,5312,0.90,464,16328,15464,544,204646,124129
0854,437,437,52911,42770,0.88,386,49994,40608,0.06,27,1501,-404,437,54310,43260,437,1192,200,0.03,11,87543,28350,0.03,12,40995,12842,0.73,318,11815,6696,609,58454,9092
